time,tx_bytes,tx_packets,drops
0.00,90,1,0
0.12,180,2,0
0.23,180,2,0
0.34,180,2,1
0.45,270,3,1
0.56,270,3,1
0.67,270,3,1
0.78,270,3,1
0.90,270,3,1
1.01,270,3,1
1.12,270,3,1
1.23,270,3,1
1.34,270,3,1
1.46,430,5,1
1.57,430,5,1
1.68,430,5,1
1.79,430,5,1
1.90,430,5,1
2.01,430,5,1
2.12,520,6,1
2.23,520,6,1
2.34,520,6,1
2.46,520,6,1
2.59,520,6,1
2.70,520,6,1
2.82,520,6,1
2.93,520,6,1
3.04,520,6,1
3.15,1404,8,2
3.26,4772,12,2
3.38,7298,15,2
3.50,9824,18,2
3.61,13192,22,2
3.72,15718,25,3
3.83,18244,28,3
3.94,21612,32,3
4.05,24138,35,3
4.16,26664,38,3
4.27,30032,42,3
4.39,32558,45,3
4.50,35084,48,3
4.62,38452,52,3
4.73,40978,55,3
4.84,43504,58,4
4.97,46872,62,4
5.09,50240,66,4
5.20,52766,69,4
5.31,55292,72,4
5.42,58660,76,4
5.53,61186,79,4
5.64,63712,82,4
5.75,66238,85,4
5.86,69606,89,4
5.97,72132,92,4
6.08,74658,95,4
6.19,78026,99,5
6.31,80552,102,5
6.42,83078,105,6
6.53,86446,109,6
6.64,88972,112,6
6.75,91498,115,7
6.86,94024,118,7
6.97,97392,122,7
7.09,99918,125,7
7.20,102444,128,9
7.31,105812,132,9
7.43,108338,135,10
7.54,110864,138,10
7.65,114232,142,10
7.76,116758,145,11
7.87,119284,148,11
7.98,122652,152,11
8.09,125178,155,12
8.20,127704,158,12
8.31,130230,161,12
8.41,132756,164,12
8.52,136124,168,12
8.63,138650,171,12
8.74,141176,174,12
8.84,143702,177,12
8.95,146228,180,12
9.06,149596,184,12
9.17,152122,187,13
9.27,154648,190,13
9.38,157174,193,13
9.49,159700,196,13
9.60,163068,200,13
9.71,165594,203,13
9.82,168120,206,13
9.93,170646,209,13
10.04,174014,213,13
10.14,176540,216,14
10.25,179066,219,14
10.36,181592,222,14
10.47,184118,225,14
10.57,187486,229,14
10.68,190012,232,14
10.79,192608,236,15
10.90,195134,239,16
11.01,197660,242,16
11.12,201028,246,16
11.23,203554,249,17
11.35,206080,252,17
11.46,209448,256,17
11.57,211974,259,17
11.68,214500,262,17
11.79,217868,266,17
11.90,220394,269,17
12.01,222920,272,17
12.12,225446,276,17
12.23,228814,279,18
12.35,231340,282,18
12.46,233866,285,18
12.57,237234,289,18
12.68,239760,292,18
12.79,242286,295,18
12.90,245654,299,18
13.01,248180,302,19
13.13,250706,305,19
13.24,254074,309,19
13.35,256600,312,19
13.46,259126,315,19
13.57,262494,319,19
13.68,265020,322,19
13.80,267546,325,19
13.91,270914,329,19
14.02,273440,332,19
14.13,275966,335,19
14.24,278492,338,19
14.35,281860,342,19
14.47,284386,345,19
14.58,286912,348,19
14.69,290280,352,19
14.80,292806,355,19
14.92,295332,358,19
15.03,298700,362,19
15.15,301226,365,19
15.26,304594,369,19
15.37,307120,372,19
15.49,309646,375,19
15.60,313014,379,19
15.71,315540,382,19
15.82,318066,385,21
15.93,321434,389,21
16.05,323960,392,21
16.16,326486,395,21
16.27,329854,399,21
16.38,332380,402,21
16.49,334906,405,21
