time,tx_bytes,tx_packets,drops
0.00,90,1,0
0.14,266,3,0
0.26,266,3,0
0.36,266,3,0
0.48,266,3,0
0.61,266,3,0
0.72,266,3,0
0.83,266,3,0
0.94,356,4,0
1.05,356,4,0
1.16,516,6,0
1.27,516,6,0
1.39,516,6,0
1.50,516,6,0
1.61,516,6,0
1.72,516,6,0
1.83,516,6,0
1.94,606,7,0
2.06,606,7,0
2.17,606,7,0
2.28,606,7,0
2.39,606,7,0
2.50,606,7,0
2.61,606,7,0
2.73,606,7,0
2.84,606,7,0
2.95,606,7,0
3.06,606,7,0
3.17,1490,9,0
3.28,4016,12,1
3.39,6542,15,3
3.51,9910,19,3
3.62,12436,22,4
3.73,14962,25,5
3.84,18330,29,5
3.95,20856,32,5
4.06,23382,35,5
4.17,25908,38,5
4.28,29276,42,5
4.39,31802,45,5
4.50,34328,48,5
4.61,37696,52,5
4.72,40222,55,5
4.83,42748,58,5
4.94,45274,61,5
5.06,48642,65,5
5.17,51168,68,5
5.28,53694,71,5
5.39,57062,75,5
5.50,59588,78,6
5.62,62114,81,6
5.73,65482,85,7
5.84,68008,88,7
5.95,70534,91,8
6.07,73902,95,8
6.18,76428,98,8
6.29,78954,101,8
6.40,82322,105,9
6.51,84848,108,9
6.62,87374,111,9
6.73,90742,115,9
6.84,93268,118,9
6.95,95794,121,9
7.07,98320,125,9
7.18,101688,128,10
7.29,104214,131,10
7.40,106740,134,10
7.51,110108,138,10
7.62,112634,141,11
7.73,115160,144,12
7.84,118528,148,12
7.96,121054,151,12
8.07,123580,154,12
8.18,126106,157,13
8.29,129474,161,13
8.40,132000,164,13
8.51,134526,167,13
8.62,137894,171,13
8.73,140420,174,13
8.85,142946,177,13
8.96,145472,180,14
9.07,148840,184,15
9.18,151366,187,15
9.29,154734,191,15
9.41,157260,194,15
9.52,159786,197,15
9.63,163154,201,15
9.74,165680,204,15
9.86,168206,207,15
9.97,171574,211,15
10.08,174100,214,15
10.18,176626,217,15
10.30,179152,220,15
10.41,182520,224,15
10.52,185046,227,15
10.63,187572,230,15
10.75,191010,235,16
10.86,193536,238,17
10.97,196062,241,17
11.08,199430,245,17
11.19,201956,248,17
