time,tx_bytes,tx_packets,drops
0.00,90,1,0
0.16,356,4,0
0.27,356,4,0
0.38,356,4,0
0.49,356,4,0
0.60,356,4,0
0.71,356,4,0
0.83,356,4,0
0.94,356,4,0
1.05,356,4,0
1.16,516,6,0
1.27,516,6,0
1.38,516,6,0
1.49,516,6,0
1.61,606,7,0
1.72,606,7,0
1.83,606,7,0
1.95,606,7,0
2.06,606,7,0
2.17,606,7,0
2.28,606,7,0
2.39,606,7,0
2.50,606,7,0
2.62,606,7,0
2.73,606,7,0
2.84,606,7,0
2.96,606,7,0
3.08,648,8,0
3.19,2332,10,0
3.30,5700,14,0
3.42,8226,17,0
3.53,10752,20,0
3.64,14120,24,0
3.75,16646,27,1
3.86,19172,30,1
3.97,22540,34,1
4.08,25066,37,1
4.20,27592,40,2
4.31,30960,44,3
4.42,33486,47,3
4.53,36012,50,3
4.65,39380,54,4
4.75,41906,57,4
4.87,44432,60,5
4.98,46958,63,5
5.09,50326,67,5
5.20,52852,70,5
5.31,55378,73,5
5.42,57904,76,5
5.53,61272,80,6
5.64,63798,83,6
5.75,66324,86,6
5.86,69692,90,6
5.98,72218,93,6
6.09,74744,96,7
6.20,78112,100,7
6.31,80638,103,7
6.42,83164,106,7
6.53,86532,110,7
6.65,89058,113,7
6.76,91584,116,7
6.88,94952,120,8
6.99,97478,123,8
7.10,100004,126,8
7.21,103372,130,9
7.32,105898,133,9
7.43,108424,136,10
7.54,110950,139,10
7.65,114318,143,11
7.76,116844,146,12
7.87,119370,149,12
8.01,122738,154,12
8.13,126106,157,12
8.24,128632,160,13
8.35,131158,163,14
8.46,134526,167,14
8.57,137052,170,14
8.69,140420,174,15
8.80,142946,177,16
8.91,145472,180,16
9.02,147998,183,16
9.14,151366,187,16
9.25,153962,191,16
9.36,156488,194,16
9.47,159856,198,17
9.58,162382,201,17
9.69,164908,204,17
9.80,167434,207,17
9.91,170802,211,17
10.02,173328,214,17
10.13,175854,217,17
10.24,179222,221,17
10.35,181748,224,17
10.46,184274,227,17
10.57,186800,230,17
10.68,190168,234,17
10.79,192694,237,17
10.90,195220,240,18
11.02,198588,244,18
11.13,201114,247,18
11.24,203640,250,18
11.35,207008,254,18
11.46,209534,257,18
11.58,212060,260,20
11.69,214586,263,20
11.80,217954,267,20
11.91,220480,270,20
12.02,223006,273,21
12.13,226374,277,21
12.24,228900,280,21
12.35,231426,283,22
12.46,234794,287,22
12.57,237320,290,22
12.75,241530,295,22
12.89,244898,299,22
13.00,248266,303,23
13.12,250792,306,24
13.23,253318,309,25
13.34,256686,313,25
13.45,259212,316,25
13.56,261738,319,25
13.68,265106,323,25
13.79,267632,326,25
13.90,270158,329,25
14.01,272684,332,25
14.12,276052,336,25
14.23,278578,339,25
14.34,281104,342,25
14.45,283630,345,25
14.56,286998,349,26
14.67,289524,352,26
14.79,292050,355,26
14.90,295418,359,26
15.01,297944,362,26
15.12,300470,365,26
15.23,303838,369,26
15.34,306364,372,26
15.45,308890,375,26
15.56,312258,379,26
15.68,314784,382,26
15.79,317310,385,27
15.90,320678,389,27
16.01,323204,392,28
16.12,325730,395,28
16.23,329098,399,28
16.35,331624,402,28
16.46,334150,405,29
16.57,336676,408,29
16.69,340044,412,29
16.80,342570,415,30
16.91,345096,418,30
17.01,348464,422,30
17.13,350990,425,30
17.24,353516,428,30
17.35,356884,432,30
17.46,359410,435,30
17.57,361936,438,30
17.68,365304,442,30
17.79,367830,445,30
17.91,370356,448,30
18.02,372882,452,30
18.13,376250,455,30
18.24,378776,458,30
18.35,381302,461,30
18.46,384670,465,30
18.57,387196,468,30
18.69,389722,471,30
18.80,393090,475,30
18.91,395616,478,31
19.01,398142,481,31
19.12,400668,484,31
19.23,403194,487,31
19.33,406562,491,31
19.44,409088,494,31
19.55,411614,497,31
19.65,414140,500,32
19.76,416666,503,32
19.87,419192,506,32
19.97,422560,510,32
20.08,425086,513,32
20.19,427612,516,32
20.30,430138,519,32
20.41,432664,522,34
20.51,436032,526,40
20.62,438558,529,46
20.73,441084,532,53
20.84,443610,535,59
20.94,446136,538,66
21.05,448662,541,72
21.16,452030,545,78
