time,tx_bytes,tx_packets,drops
0.00,90,1,0
0.13,132,2,0
0.25,2658,5,0
0.36,5184,8,0
0.47,7800,12,0
0.59,10326,15,0
0.70,13780,20,0
0.82,16306,23,1
0.95,19674,27,1
1.07,23042,31,2
1.19,25568,34,3
1.30,28936,38,4
1.41,31462,41,4
1.52,33988,44,4
1.63,37356,48,4
1.75,39882,51,4
1.86,42408,54,5
1.97,45776,58,5
2.09,48302,61,5
2.20,50828,64,5
2.31,54196,68,5
2.42,56722,71,6
2.53,59248,74,6
2.65,62616,78,6
2.76,65142,81,7
2.87,67668,84,8
2.99,71036,88,8
3.11,73562,91,8
3.22,76930,95,8
3.33,79456,98,8
3.45,81982,101,8
3.56,85510,107,8
3.67,88036,110,8
3.79,90562,113,8
3.90,93930,117,8
4.01,96456,120,8
4.12,99072,124,8
4.23,101598,127,9
4.34,104966,131,10
4.45,107492,134,10
4.56,110018,137,10
4.67,113386,141,10
4.79,115912,144,10
4.90,118438,147,10
5.01,121806,151,10
5.12,124332,154,10
5.23,126858,157,10
5.35,129384,160,10
5.46,132752,164,10
5.57,135278,167,11
5.68,137804,170,12
5.79,141172,174,12
5.90,143698,177,12
6.01,146224,180,12
6.12,148750,183,12
6.24,152118,187,12
6.36,154644,190,12
6.47,158012,194,12
6.58,160538,197,12
6.69,163064,200,12
6.80,166432,204,12
6.91,168958,207,12
7.03,171484,210,12
7.14,174852,214,15
7.25,177378,217,15
7.36,179904,220,16
7.47,183272,224,18
7.58,185798,227,19
7.69,188324,230,20
7.81,190850,233,20
7.92,194218,237,20
8.03,196744,240,20
8.15,200112,244,21
8.26,202638,247,21
8.37,205164,250,21
8.49,208532,254,21
8.60,211058,257,21
8.72,214426,261,21
8.83,216952,264,21
8.94,219478,267,22
9.05,222004,270,22
9.16,225372,274,22
9.28,227898,277,23
9.39,230424,280,24
9.50,233792,284,24
9.61,236318,287,24
9.72,238844,290,24
9.83,242212,294,24
9.95,244738,297,24
10.06,247264,300,24
10.17,250632,304,24
10.29,253158,307,25
10.40,256526,311,25
10.51,259052,314,25
10.62,261578,317,26
10.74,264104,320,26
10.85,267472,324,26
10.96,269998,327,26
11.07,272524,330,26
11.18,275892,334,27
11.29,278418,337,27
11.40,280944,340,27
11.52,284312,344,27
11.63,286838,347,27
11.74,289364,350,27
11.85,292732,354,28
11.97,295258,357,28
12.08,297784,360,28
12.19,301152,364,28
12.30,303678,367,28
12.42,306204,370,28
12.53,309572,374,28
12.65,312098,377,28
12.76,315466,381,30
12.87,317992,384,30
12.98,320518,387,30
13.10,323886,391,30
13.21,326412,394,30
13.32,328938,397,30
