[C-Agent] Starting on veth-delta-peer...
[C-Agent] Throughput: 1 pps
[C-Agent] Throughput: 54 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 91 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 86 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 86 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 91 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 86 pps
[C-Agent] Throughput: 84 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 86 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 71 pps
[C-Agent] Throughput: 52 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 84 pps
