time,tx_bytes,tx_packets,drops
0.00,176,2,1
0.12,266,3,1
0.23,266,3,1
0.34,266,3,1
0.45,426,5,1
0.56,516,6,1
0.66,516,6,1
0.77,516,6,1
0.88,516,6,1
0.99,516,6,1
1.10,606,7,1
1.21,606,7,1
1.32,606,7,1
1.43,606,7,1
1.54,606,7,1
1.65,606,7,1
1.75,606,7,1
1.86,606,7,1
1.97,606,7,1
2.08,606,7,1
2.19,606,7,1
2.30,606,7,1
2.40,606,7,1
2.51,606,7,1
2.63,606,7,1
2.74,606,7,1
2.85,606,7,1
2.96,606,7,1
3.07,606,7,1
3.17,606,7,1
3.28,606,7,1
3.39,606,7,1
3.50,606,7,1
3.61,648,8,1
3.71,1490,9,1
3.82,4858,13,1
3.93,7384,16,1
4.04,9910,19,1
4.14,12436,22,1
4.25,14962,25,1
4.36,17488,28,1
4.47,20856,32,1
4.58,23382,35,1
4.69,25908,38,1
4.79,28434,41,1
4.90,31802,45,1
5.01,34328,48,1
5.12,36854,51,1
5.22,39380,54,1
5.33,41906,57,1
5.44,45274,61,1
5.55,47800,64,1
5.66,50326,67,2
5.76,52852,70,2
5.87,55378,73,2
5.98,58746,77,2
6.09,61272,80,2
6.20,63798,83,2
6.31,66324,86,2
6.41,68850,89,2
6.52,72218,93,2
6.63,74744,96,2
6.74,77270,99,2
6.85,79796,102,2
6.95,82322,105,2
7.06,85690,109,2
7.17,88286,113,3
7.27,90812,116,3
7.38,93338,119,3
7.49,95864,122,3
7.60,99232,126,3
7.71,101758,129,3
7.82,104284,132,3
7.93,106810,135,3
8.04,110178,139,3
8.14,112704,142,3
8.25,115230,145,4
8.36,117756,148,4
8.47,120282,151,5
8.58,123650,155,5
8.69,126176,158,6
8.79,128702,161,6
8.90,131228,164,6
9.01,133754,167,6
9.12,137122,171,6
9.22,139648,174,6
9.33,142174,177,6
9.44,144700,180,6
9.55,148068,184,6
9.66,150594,187,7
9.77,153120,190,7
9.87,155646,193,8
9.98,158172,196,8
10.09,161540,200,8
10.20,164066,203,10
10.31,166592,206,10
10.42,169118,209,10
10.52,171644,212,10
10.63,175012,216,10
10.74,177538,219,10
10.84,180064,222,10
10.99,183432,226,10
11.10,186800,230,10
11.21,189326,233,10
11.32,191852,236,10
11.43,194378,239,10
11.53,196904,242,10
11.64,200272,246,10
11.75,202798,249,10
11.86,205324,252,10
11.96,207850,255,10
12.07,210376,258,10
12.18,213744,262,11
12.29,216270,265,11
12.39,218796,268,11
12.50,221322,271,11
12.61,223848,274,11
12.72,226374,277,11
12.82,229742,281,11
12.93,232268,284,11
13.04,234794,287,12
13.15,237320,290,12
13.25,240688,294,12
13.36,243214,297,12
13.47,245740,300,12
13.58,248266,303,12
13.68,250792,306,12
13.79,253318,309,12
13.90,256686,313,12
14.00,259212,316,12
14.11,261738,319,12
14.22,264264,322,12
14.33,266790,325,12
14.44,270158,329,13
14.54,272684,332,13
14.65,275210,335,13
14.76,277736,338,13
14.87,280262,341,13
14.98,283630,345,13
15.09,286156,348,13
15.19,288682,351,13
15.30,291208,354,14
15.41,293734,357,14
15.52,297102,361,14
15.62,299628,364,14
15.73,302154,367,15
15.84,304680,370,15
15.94,307206,373,15
16.05,310574,377,15
16.16,313100,380,15
16.27,315626,383,15
16.37,318651,405,15
16.48,321335,445,15
16.59,324017,485,15
16.70,326699,525,15
16.80,329378,565,16
16.91,332061,605,16
17.02,334741,645,16
17.13,337491,686,16
17.23,340104,725,17
17.34,342852,766,17
17.45,345600,807,17
17.56,348279,847,17
17.67,350963,887,17
17.78,353775,929,17
17.89,356461,969,17
17.99,359076,1008,17
18.10,361826,1049,17
18.21,364441,1088,17
18.32,367188,1129,17
18.42,369870,1169,17
18.53,372616,1210,17
18.64,375297,1250,17
18.75,377978,1290,17
18.86,380661,1330,18
18.96,382333,1355,18
19.07,383071,1366,18
19.18,383608,1374,19
19.29,384211,1383,19
19.39,384815,1392,19
19.51,385487,1402,19
19.61,386157,1412,19
19.72,386828,1422,19
19.83,387498,1432,19
19.94,388034,1440,20
20.04,388704,1450,20
