time,tx_bytes,tx_packets,drops
0.00,180,2,0
0.13,270,3,0
0.24,270,3,0
0.35,356,4,0
0.45,356,4,0
0.57,356,4,0
0.67,356,4,0
0.78,356,4,0
0.89,356,4,0
1.00,446,5,0
1.11,446,5,0
1.22,446,5,0
1.33,606,7,0
1.44,606,7,0
1.54,606,7,0
1.65,606,7,0
1.76,606,7,0
1.87,606,7,0
1.98,606,7,0
2.09,696,8,0
2.19,696,8,0
2.30,696,8,0
2.41,696,8,0
2.52,696,8,0
2.63,696,8,0
2.74,696,8,0
2.85,696,8,0
2.96,696,8,0
3.07,696,8,0
3.18,1580,10,0
3.28,4106,13,0
3.39,6632,16,0
3.50,9158,19,0
3.61,11684,22,1
3.72,15052,26,1
3.82,17578,29,1
3.93,20104,32,1
4.04,22630,35,3
4.14,25156,38,3
4.25,27682,41,3
4.36,31050,45,3
4.47,33576,48,3
4.58,36102,51,3
4.69,39470,55,3
4.80,41996,58,4
4.91,44522,61,4
5.02,47048,64,4
5.13,49574,67,4
5.24,52942,71,4
5.34,55468,74,4
5.45,57994,77,4
5.56,60520,80,4
5.67,63888,84,4
5.78,66414,87,4
5.89,68940,90,4
6.00,71466,93,5
6.10,73992,96,5
6.21,77360,100,6
6.32,79886,103,6
6.43,82412,106,6
6.54,84938,109,6
6.65,88306,113,6
6.75,90832,116,6
6.86,93358,119,6
6.97,95884,122,6
7.08,98410,125,7
7.19,101778,129,8
7.30,104304,132,10
7.40,106830,135,10
7.51,109356,138,10
7.62,111882,141,11
7.73,115250,145,11
7.84,117776,148,11
7.95,120302,151,11
8.06,122828,154,11
8.16,126196,158,11
8.27,128722,161,11
8.38,131248,164,11
8.49,133774,167,11
8.60,137142,171,11
8.71,139738,175,11
8.82,142264,178,11
8.93,144790,181,11
9.04,147316,184,11
9.14,150684,188,11
9.25,153210,191,11
9.36,155736,194,11
9.47,158262,197,11
9.58,161630,201,11
9.69,164156,204,11
9.80,166682,207,11
9.91,169208,210,11
10.02,172576,214,11
10.13,175102,217,11
10.24,177628,220,11
10.35,180154,223,11
10.45,182680,226,11
