[C-Agent] Starting on veth-delta-peer...
[C-Agent] Throughput: 1 pps
[C-Agent] Throughput: 27 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 83 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 83 pps
[C-Agent] Throughput: 81 pps
[C-Agent] Throughput: 89 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 88 pps
[C-Agent] Throughput: 82 pps
[C-Agent] Throughput: 47 pps
[C-Agent] Throughput: 68 pps
[C-Agent] Throughput: 86 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 90 pps
[C-Agent] Throughput: 85 pps
[C-Agent] Throughput: 87 pps
[C-Agent] Throughput: 79 pps
[C-Agent] Throughput: 29 pps
[C-Agent] Throughput: 7 pps
[C-Agent] Throughput: 1 pps
[C-Agent] Throughput: 84 pps
[C-Agent] Throughput: 75 pps
[C-Agent] Throughput: 83 pps
[C-Agent] Throughput: 79 pps
[C-Agent] Throughput: 77 pps
[C-Agent] Throughput: 74 pps
[C-Agent] Throughput: 44 pps
[C-Agent] Throughput: 55 pps
[C-Agent] Throughput: 4 pps
[C-Agent] Throughput: 83 pps
[C-Agent] Throughput: 70 pps
[C-Agent] Throughput: 81 pps
[C-Agent] Throughput: 44 pps
[C-Agent] Throughput: 43 pps
[C-Agent] Throughput: 72 pps
[C-Agent] Throughput: 78 pps
[C-Agent] Throughput: 62 pps
[C-Agent] Throughput: 17 pps
[C-Agent] Throughput: 75 pps
[C-Agent] Throughput: 79 pps
[C-Agent] Throughput: 80 pps
[C-Agent] Throughput: 84 pps
[C-Agent] Throughput: 82 pps
[C-Agent] Throughput: 82 pps
[C-Agent] Throughput: 78 pps
[C-Agent] Throughput: 58 pps
[C-Agent] Throughput: 34 pps
[C-Agent] Throughput: 38 pps
