time,tx_bytes,tx_packets,drops
0.00,180,2,0
0.16,356,4,0
0.27,356,4,0
0.38,356,4,0
0.49,356,4,0
0.60,446,5,0
0.70,446,5,0
0.81,446,5,0
0.92,446,5,0
1.03,446,5,0
1.14,606,7,0
1.26,606,7,0
1.37,606,7,0
1.50,606,7,0
1.61,696,8,0
1.71,696,8,0
1.84,696,8,0
1.96,696,8,0
2.07,696,8,0
2.18,696,8,0
2.32,696,8,0
2.44,696,8,0
2.55,696,8,0
2.67,696,8,0
2.78,696,8,0
2.89,696,8,0
3.01,696,8,0
3.12,696,8,0
3.24,696,8,0
3.35,696,8,0
3.46,696,8,0
3.57,696,8,0
3.68,738,9,0
3.79,3264,12,0
3.90,6632,16,0
4.01,9158,19,0
4.12,11684,22,1
4.23,14210,25,2
4.35,17578,29,2
4.47,20946,33,2
4.58,23472,36,2
4.69,25998,39,2
4.80,29366,43,3
4.91,31892,46,4
5.02,34418,49,4
5.15,37786,53,4
5.27,40312,56,4
5.38,43680,60,4
5.51,47048,64,4
5.62,49574,67,4
5.73,52100,70,4
5.84,54626,73,4
5.95,57994,77,5
6.07,60520,80,6
6.18,63046,83,6
6.29,66414,87,6
6.41,68940,90,7
6.52,71466,93,7
6.63,74834,97,7
6.74,77360,100,7
6.85,79886,103,8
6.96,83254,107,8
7.07,85780,110,9
7.18,88306,113,9
7.29,90832,116,9
7.40,94200,120,9
7.52,96726,123,9
7.62,99252,126,9
7.73,102620,130,9
7.84,105146,133,11
7.95,107672,136,11
8.06,110198,139,11
8.19,113566,143,12
8.31,116092,146,12
8.42,119460,150,12
8.53,121986,153,13
8.64,124512,156,13
8.76,127880,160,14
8.87,130406,163,14
8.98,133774,167,14
9.09,136370,171,15
9.21,138896,174,16
9.33,142264,178,16
9.43,144790,181,18
9.56,148158,185,18
9.67,150684,188,18
9.79,153210,191,19
9.90,156578,195,19
10.01,159104,198,19
10.12,161630,201,19
10.24,164998,205,19
10.38,168366,209,19
10.49,170892,212,20
10.61,174260,216,20
10.73,176786,219,20
10.84,180154,223,20
10.95,182680,226,21
11.06,185206,229,21
11.17,188574,233,21
11.28,191100,236,21
11.40,193626,239,21
11.51,196152,242,22
11.62,199520,246,22
11.74,202046,249,22
11.86,205414,253,22
11.97,207940,256,22
12.08,210466,259,22
12.19,213834,263,22
12.30,216360,266,22
12.41,218886,269,23
12.52,222254,273,24
12.63,224780,276,24
12.74,227306,279,24
12.85,229832,282,24
12.96,233200,286,24
13.07,235726,289,24
13.18,238252,292,24
13.30,241620,296,24
13.41,244146,299,24
13.52,246672,302,24
13.63,249198,305,24
13.74,252566,309,24
13.85,255092,312,24
13.96,257618,315,24
14.07,260986,319,24
14.18,263512,322,24
14.29,266038,325,24
14.41,269406,329,24
14.53,271932,332,24
14.64,274458,335,24
14.75,277826,339,25
14.87,280352,342,25
14.98,283720,346,26
15.10,286246,349,26
15.21,288772,352,26
15.32,292140,356,27
15.43,294666,359,27
15.55,297192,362,27
15.67,300560,366,27
15.78,303086,369,27
15.89,306454,373,27
16.00,308980,376,27
16.11,311506,379,27
16.22,314032,382,27
16.38,318242,387,27
16.49,320768,390,28
16.60,324136,394,28
16.72,326662,397,28
16.84,330231,404,28
16.97,333518,453,29
17.08,336267,494,29
17.19,338950,534,29
17.30,341699,575,29
17.41,344450,616,29
17.52,347330,659,29
17.63,350079,700,29
17.75,353094,745,31
17.86,355843,786,31
17.99,358927,832,33
18.10,361609,872,34
18.20,364355,913,35
18.31,367107,954,35
18.42,369787,994,35
18.56,373337,1047,35
18.67,376080,1088,35
18.79,379029,1132,36
18.90,381779,1173,36
19.03,384927,1220,36
19.14,387675,1261,36
19.25,390424,1302,36
19.36,392297,1330,36
19.47,393034,1341,36
19.58,393573,1349,36
19.69,394243,1359,37
19.81,394914,1369,37
19.92,395584,1379,37
20.05,396188,1388,38
20.16,396925,1399,39
20.27,397462,1407,39
20.38,398198,1418,39
20.49,398802,1427,39
20.60,399338,1435,40
20.71,399941,1444,41
20.84,400610,1454,41
20.95,401281,1464,42
21.06,401882,1473,42
21.17,402485,1482,43
21.28,403222,1493,43
21.39,403893,1503,43
21.50,404227,1508,43
21.61,404699,1515,43
21.72,405436,1526,43
21.83,405972,1534,43
22.24,406577,1543,43
22.40,407048,1550,43
22.64,407584,1558,43
22.79,408057,1565,43
22.90,408325,1569,43
23.02,408996,1579,43
23.13,409667,1589,43
23.25,410271,1598,44
23.36,410874,1607,44
23.47,411613,1618,44
23.59,412218,1627,44
23.70,412886,1637,44
23.81,413423,1645,44
23.92,414227,1657,44
24.04,414830,1666,44
24.16,415568,1677,45
24.28,416034,1684,45
24.39,416772,1695,45
24.50,417443,1705,45
24.61,418115,1715,45
24.72,418719,1724,45
24.83,419388,1734,45
24.94,420125,1745,45
25.05,420595,1752,45
25.16,421266,1762,45
25.27,421937,1772,45
25.38,422608,1782,45
25.49,423276,1792,45
25.62,423946,1802,45
25.74,424616,1812,45
25.85,425352,1823,45
25.95,425954,1832,45
26.06,426623,1842,45
26.17,427294,1852,45
26.28,427963,1862,45
26.40,428634,1872,45
26.51,429372,1883,45
26.62,429978,1892,46
26.73,430579,1901,47
26.84,431115,1909,47
26.95,431719,1918,48
27.05,432052,1923,49
27.17,432790,1934,50
27.28,433327,1942,50
27.39,433997,1952,50
27.49,434533,1960,50
27.60,435137,1969,50
27.72,435807,1979,50
27.82,436411,1988,51
27.93,437014,1997,51
28.04,437752,2008,51
28.15,438354,2017,51
28.27,439088,2028,51
28.38,439690,2037,51
28.49,440426,2048,51
28.60,441038,2057,51
28.72,441574,2065,51
28.84,442044,2072,51
28.96,442714,2082,51
29.07,443449,2093,51
29.18,444052,2102,51
29.29,444721,2112,51
29.40,445392,2122,51
29.64,445995,2131,52
29.80,446401,2137,52
30.04,446602,2140,52
30.35,446939,2145,53
30.47,447410,2152,53
30.64,447879,2159,53
31.41,448351,2166,53
31.56,450877,2169,54
31.67,453403,2172,54
31.81,456771,2176,54
31.93,460139,2180,54
32.04,462665,2183,54
32.15,465191,2186,54
32.26,468559,2190,55
32.37,471085,2193,55
32.48,473611,2196,55
32.59,476137,2199,55
32.72,479505,2203,55
32.83,482873,2207,55
32.98,486241,2211,55
33.10,488767,2214,55
33.23,492135,2218,55
33.34,495503,2222,55
33.46,498029,2225,56
33.57,500555,2228,57
33.69,503923,2232,57
33.81,507291,2236,57
33.93,509817,2239,57
34.04,512343,2242,57
34.16,515711,2246,57
34.28,518237,2249,57
34.39,521605,2253,57
34.50,524131,2256,58
34.62,527499,2260,58
34.79,531709,2265,58
34.95,535077,2269,59
35.07,538445,2273,59
35.18,540971,2276,59
35.30,544339,2280,59
35.41,546865,2283,59
35.53,549391,2287,59
35.65,552759,2290,59
35.77,556127,2294,60
35.88,558653,2297,61
36.00,562021,2301,61
36.14,565389,2305,61
36.26,567915,2308,61
36.40,571283,2312,61
36.53,574651,2316,61
36.66,578019,2320,61
36.77,580545,2323,61
36.89,583913,2327,62
37.00,586439,2330,62
37.15,590649,2335,62
37.29,594353,2367,62
37.45,598242,2425,62
37.57,601235,2470,62
37.71,604852,2524,62
37.83,607732,2567,62
37.95,610724,2612,63
38.06,613605,2655,63
38.22,617227,2709,63
38.37,617894,2719,63
38.50,618431,2727,64
38.61,619036,2736,65
38.73,619573,2744,65
38.85,620244,2754,65
38.97,620848,2763,65
39.09,621586,2774,65
39.28,622589,2789,65
39.44,623057,2800,65
39.56,623657,2805,65
39.70,624130,2812,65
39.83,624799,2822,65
40.23,625135,2827,65
40.39,625605,2834,66
40.52,626209,2843,66
40.63,626879,2853,66
40.75,627349,2860,67
40.86,628018,2870,67
40.98,628689,2880,67
41.31,629427,2891,67
41.64,629829,2897,67
42.41,630433,2906,67
42.59,633801,2910,67
42.74,637169,2914,67
